sentence_position,sentence_count,paragraph_position,paragraph_count
4,4,5,5
20,56,6,16
5,12,2,3
2,3,2,3
4,13,2,4
53,56,10,10
2,6,1,1
3,29,2,4
2,25,1,7
9,13,2,4
18,23,6,8
3,5,2,2
4,6,1,1
13,16,4,4
1,7,1,5
30,36,13,16
36,36,16,16
6,7,3,3
2,8,1,4
2,8,1,4
2,8,1,4
8,26,4,7
11,26,4,7
7,14,3,5
11,11,4,4
15,17,12,14
1,5,1,3
2,5,1,3
3,5,2,3
2,9,1,4
78,103,26,33
12,15,5,6
12,15,5,6
8,16,3,4
4,28,2,6
19,28,4,6
20,28,4,6
26,28,6,6
4,5,2,2
2,9,1,5
10,12,5,6
4,15,3,5
10,21,2,3
4,38,2,10
17,41,9,21
5,15,1,6
1,11,1,4
4,11,1,4
15,21,4,7
4,14,2,4
5,6,3,3
39,66,8,14
2,10,1,7
3,25,1,7
6,11,3,4
7,16,2,4
2,2,2,2
1,7,1,3
1,7,1,3
10,12,3,4
1,10,1,4
4,10,2,4
11,11,4,4
2,6,1,3
6,6,3,3
6,8,3,4
5,5,2,2
10,10,3,3
1,20,1,4
9,14,2,3
11,11,3,3
7,8,3,3
8,14,3,6
2,15,1,3
23,31,4,7
25,33,7,9
7,13,2,5
3,6,2,3
15,15,5,5
2,3,1,1
4,15,2,4
7,15,2,4
6,15,3,5
9,15,4,5
4,5,3,4
9,13,3,4
9,13,3,4
12,24,7,14
2,6,1,1
5,6,1,1
30,30,5,5
30,30,5,5
1,4,1,1
3,4,1,1
11,13,3,5
11,13,3,5
5,6,2,2
10,11,4,4
11,11,4,4
7,10,2,3
4,7,2,3
2,2,2,2
1,5,1,2
1,5,1,2
4,9,2,5
19,19,7,7
10,11,3,3
5,11,2,3
3,25,2,4
9,12,4,6
9,9,3,3
6,17,2,4
2,3,1,2
15,16,3,7
2,10,1,6
7,10,4,6
8,10,5,6
9,16,3,4
10,10,6,6
2,4,1,2
8,9,3,3
5,7,3,3
3,22,1,4
8,9,5,8
23,32,5,7
3,7,1,2
3,18,2,7
4,18,2,7
5,18,3,7
7,18,4,7
15,18,6,9
7,18,2,5
6,10,2,4
4,16,1,3
1,3,1,2
2,3,1,2
8,10,3,4
5,5,2,2
5,5,2,2
46,59,6,8
5,9,3,6
19,19,3,3
9,16,3,4
4,8,2,2
17,22,6,7
7,18,5,9
8,15,4,7
17,22,6,7
7,18,5,9
8,15,4,7
3,3,1,1
4,16,3,6
10,16,4,6
11,16,4,6
13,28,2,6
5,5,3,3
9,13,4,6
8,22,2,5
9,22,2,5
6,20,2,5
6,17,2,6
21,21,7,7
4,8,4,6
2,4,1,1
4,4,1,1
8,11,3,3
4,7,2,4
26,79,11,32
46,79,16,32
38,38,25,29
34,34,16,17
27,27,7,7
4,5,1,1
7,9,3,3
10,52,2,8
17,52,3,8
40,52,6,8
7,10,4,6
5,8,2,3
8,8,3,3
5,8,2,3
8,8,3,3
5,8,2,3
8,8,3,3
4,8,2,3
4,8,2,3
4,8,2,3
33,36,5,5
1,33,1,7
2,8,1,3
5,9,1,2
6,12,3,5
8,8,6,6
13,15,3,4
14,15,3,4
13,15,3,4
14,15,3,4
8,11,3,4
5,11,4,7
6,9,2,2
6,17,1,4
12,17,3,4
5,16,4,8
5,16,4,8
8,42,2,13
14,14,7,7
3,6,2,4
13,13,6,6
37,53,18,22
2,11,1,3
5,13,3,6
5,13,3,6
14,15,5,6
20,20,4,4
21,21,3,3
6,12,4,5
8,9,4,5
16,35,4,8
21,35,5,8
23,35,5,8
30,35,6,8
2,13,1,4
30,47,11,13
3,19,2,7
9,19,4,7
6,21,2,4
13,21,3,4
34,36,8,9
6,11,1,2
11,11,2,2
5,5,3,3
15,15,6,6
15,15,6,6
13,36,4,15
6,24,3,10
6,24,3,10
1,3,1,1
4,5,1,1
5,11,2,4
8,18,3,5
6,8,3,5
2,7,1,4
6,7,3,4
5,8,2,2
3,13,1,4
6,13,1,4
6,11,2,5
7,8,2,2
7,42,3,11
7,10,2,4
4,5,1,2
4,5,1,2
4,9,2,3
8,9,3,3
9,9,3,3
2,5,1,2
13,14,4,4
3,3,1,1
3,7,1,1
7,10,2,3
17,22,5,6
19,22,6,6
7,10,2,3
17,22,5,6
19,22,6,6
1,14,1,7
5,39,2,12
22,39,7,12
2,12,2,5
8,12,3,5
12,12,5,5
2,7,2,5
6,7,3,5
6,7,2,2
1,6,1,5
25,26,4,4
8,8,4,4
1,14,1,5
5,14,2,5
2,7,2,4
1,24,1,10
10,24,5,10
2,3,1,1
15,16,5,5
10,10,2,2
4,6,3,4
28,51,8,17
30,51,9,17
7,13,3,4
3,4,2,2
13,16,1,2
7,11,3,3
7,16,2,6
18,21,5,5
17,17,5,5
17,17,5,5
10,10,2,2
11,35,4,10
22,31,5,7
4,47,2,11
24,47,6,11
3,28,1,5
5,13,1,4
5,13,1,4
6,12,1,2
16,16,6,6
10,26,2,4
19,26,3,4
10,26,2,4
19,26,3,4
10,26,2,4
19,26,3,4
12,19,6,8
1,9,1,3
9,9,5,5
8,8,2,2
3,13,1,2
6,13,1,2
8,13,2,2
12,13,2,2
8,17,4,6
9,17,4,6
2,2,1,1
3,8,2,4
6,10,2,2
5,9,2,2
7,7,2,2
1,42,1,5
39,42,5,5
42,42,5,5
7,16,3,4
7,16,3,4
3,8,1,3
24,34,9,12
5,17,2,3
7,12,2,2
3,6,2,3
6,6,3,3
23,23,4,4
10,46,2,10
41,46,8,10
2,16,1,3
28,36,6,8
28,36,6,8
28,36,6,8
9,13,3,4
2,3,1,1
8,12,3,6
4,4,2,2
36,36,14,14
28,28,7,7
4,5,2,2
15,22,6,7
2,3,1,1
2,3,1,1
25,25,6,6
4,12,2,4
12,43,4,7
12,43,4,7
3,8,2,3
6,11,2,3
2,3,2,3
5,5,2,2
12,19,5,7
1,2,1,1
3,6,1,1
13,13,7,7
4,8,3,5
11,11,6,6
6,13,2,3
