sentence_position,sentence_count,paragraph_position,paragraph_length
17,45,10,10
3,42,1,3
4,42,2,3
6,12,2,2
21,26,11,15
17,20,4,5
2,10,2,4
9,10,1,2
4,5,4,5
20,22,3,3
5,20,4,5
6,8,2,2
2,7,2,2
14,14,4,4
2,3,2,3
18,37,7,8
15,15,1,1
8,8,4,4
5,7,5,7
44,51,7,11
2,4,2,4
9,13,1,3
4,7,4,6
5,7,5,6
20,26,5,8
6,14,6,8
15,19,4,8
9,63,1,2
33,63,6,6
20,48,6,7
8,12,1,2
10,10,1,1
10,21,8,8
5,28,3,4
4,11,4,4
4,8,2,3
8,8,1,1
11,18,1,7
6,6,6,6
13,18,3,3
28,29,2,4
22,23,2,3
3,14,2,2
5,14,2,5
30,57,22,27
3,4,1,2
10,10,2,2
14,15,1,2
14,82,5,37
18,21,1,2
29,34,16,17
10,16,6,8
11,11,2,2
17,21,2,2
2,21,2,3
3,21,3,3
11,12,2,3
2,28,2,4
11,23,1,11
7,24,2,2
5,5,2,2
12,16,4,6
11,31,7,7
9,13,1,1
3,8,3,3
29,29,1,1
16,58,7,9
6,11,2,5
10,11,1,3
11,11,1,1
10,16,4,5
11,14,3,3
6,15,2,7
8,15,4,7
12,50,4,5
17,19,4,4
6,9,1,2
5,5,5,5
3,16,1,2
3,6,1,1
3,6,3,6
7,7,5,5
10,10,2,2
35,75,10,20
2,2,1,1
6,6,2,2
42,45,3,4
5,10,3,3
32,39,32,39
15,23,4,8
8,31,6,7
21,31,1,2
31,31,3,3
13,18,6,6
8,17,1,5
13,17,1,4
3,10,3,3
70,75,7,7
6,38,2,4
12,38,1,2
9,16,3,7
5,10,1,2
14,32,14,16
15,42,5,8
4,9,2,3
3,6,3,3
5,9,3,3
9,9,1,1
2,33,2,3
10,20,4,4
12,20,2,2
7,10,1,4
10,10,4,4
3,4,3,3
16,25,5,5
1,20,1,3
13,13,2,2
2,4,1,2
3,12,3,3
17,20,4,4
7,21,4,7
18,21,2,5
8,9,4,6
1,8,1,7
5,5,1,1
